epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.01201,3.3413,27.248,5.52574,4.37986,0.0025,0.38889,0.00627,0.00265,0,0,0,0,3.03955,5.1441,4.31719,4.15915,0,0,0
2,4.71201,3.44443,16.1082,4.90747,4.49821,0.00158,0.10648,0.0015,0.00055,0,0,0,0,3.03955,5.14337,4.31719,4.15901,5.73438e-06,5.73438e-06,5.73438e-06
3,17.389,3.12612,12.309,4.85806,4.37376,0.01084,0.16204,0.01788,0.00714,0,0,0,0,3.03978,5.14356,4.31747,4.15879,1.04375e-05,1.04375e-05,1.04375e-05
4,18.067,2.79243,22.1576,5.13279,4.51442,0.00155,0.27315,0.00261,0.00213,0,0,0,0,3.03978,5.14389,4.31747,4.15907,1.41094e-05,1.41094e-05,1.41094e-05
5,18.742,3.33828,26.2906,5.06938,4.41275,0.00154,0.27315,0.00289,0.00284,0,0,0,0,3.03962,5.14418,4.31696,4.15885,1.675e-05,1.675e-05,1.675e-05
6,19.355,2.96687,9.72501,4.7584,4.24175,0.00172,0.27315,0.00321,0.00165,0,0,0,0,3.03935,5.14369,4.31705,4.15882,1.83594e-05,1.83594e-05,1.83594e-05
7,19.965,3.15377,12.1215,4.83332,4.27195,0.00173,0.27315,0.00324,0.00173,0,0,0,0,3.03972,5.14395,4.3157,4.15895,1.89375e-05,1.89375e-05,1.89375e-05
8,20.579,2.86315,18.4356,5.09487,4.58453,0.00174,0.27315,0.00364,0.00171,0,0,0,0,3.03978,5.14378,4.31597,4.15906,1.84844e-05,1.84844e-05,1.84844e-05
9,21.191,2.89515,10.8972,5.30518,4.28078,0.00291,0.27315,0.00267,0.00051,0,0,0,0,3.0397,5.14384,4.31584,4.15903,1.7e-05,1.7e-05,1.7e-05
10,21.841,2.70893,9.80488,4.88922,4.25717,0.00156,0.16204,0.00303,0.0012,0,0,0,0,3.03967,5.14458,4.31574,4.15908,1.44844e-05,1.44844e-05,1.44844e-05
11,22.613,2.96047,17.7406,5.02727,4.38658,0.00123,0.21759,0.00149,0.00067,0,0,0,0,3.03955,5.14412,4.3159,4.15898,1.09375e-05,1.09375e-05,1.09375e-05
12,23.342,3.00391,51.3659,5.18901,4.61265,0.0013,0.21759,0.00155,0.00071,0,0,0,0,3.03917,5.14405,4.31632,4.15913,6.35938e-06,6.35938e-06,6.35938e-06
